2017-12-10 21:29:36.318143,0,2.5,157.5,"{'900_032002752624': 14, 'No Tag': 1, '900_032002752628': 40, '900_032002752619': 64}",0.1,0.36,f87dcb70-355b-4b92-b99b-e5df58f13d21
2017-12-10 21:29:58.870361,1,9.2,161.1,"{'No Tag': 1, '900_032002752619': 1, '900_032002752628': 7}",0.2,0.77,dc5aa0b3-683b-4de5-95e4-a4f908d0cded
2017-12-10 21:30:48.753911,2,1.1,159.7,No Tag,0.1,0.18,b606e54a-e667-493c-bb5f-4b4007aa6eb2
2017-12-10 21:31:00.364041,3,8.6,164.3,"{'900_032002752628': 16, 'No Tag': 1}",0.1,0.99,e3cb96a8-efba-4e4c-a10a-2dab18ea8a3e
2017-12-10 21:32:02.833701,4,0.1,153.1,No Tag,0.3,0.0,b2172a13-cd33-4bf3-940d-89bfc5264f36
2017-12-10 21:32:07.402791,5,37.4,172.6,"{'No Tag': 1, '900_032002752619': 13, '900_032002752628': 29}",0.2,3.21,c0e92a5c-4a43-4913-b2c9-252358e1706d
2017-12-10 21:35:22.832810,6,46.5,185.5,"{'900_032002752624': 17, 'No Tag': 1, '900_032002752619': 4, '900_032002752628': 25}",0.2,3.85,1847f722-c624-4127-b507-7cf35249e227
2017-12-10 21:39:14.805202,7,0.2,189.0,"{'900_032002752619': 1, 'No Tag': 1}",0.1,0.05,2d3d1ed4-d4ae-4211-a5bc-72a92afaf2a7
2017-12-10 21:39:19.037116,8,0.3,192.8,No Tag,0.0,0.1,61c9e55f-00cb-4f17-82df-7e8214fe758d
2017-12-10 21:39:26.221566,9,15.6,188.7,"{'900_032002752624': 7, 'No Tag': 1, '900_032002752628': 7, '900_032002752619': 2}",0.2,1.59,13f49700-dd5f-4334-9b78-533289d8ac59
2017-12-10 21:41:04.482871,10,42.2,184.4,"{'900_032002752624': 20, 'No Tag': 1, '900_032002752628': 21, '900_032002752619': 2}",0.2,3.18,0d9044e1-6494-402a-a090-53fe9cf37c4f
2017-12-10 21:44:19.455363,11,16.7,187.4,"{'900_032002752624': 10, '900_032002752628': 9, 'No Tag': 1}",0.3,1.03,331cb495-d70c-45f3-adf3-af4173df878b
2017-12-10 21:45:23.919018,12,13.6,162.1,"{'900_032002752628': 22, 'No Tag': 1}",0.3,0.75,884d35e5-464b-4371-aa2b-1ba944564423
2017-12-10 21:46:10.202801,13,35.9,162.6,"{'900_032002752628': 40, 'No Tag': 1}",0.4,1.57,a50ad4cb-6df5-4a6b-9f8b-b696b8056c72
2017-12-10 21:47:46.204075,14,28.4,162.2,"{'900_032002752628': 40, 'No Tag': 1}",0.4,1.26,28c93278-0494-4c8b-a4ed-a36dedd18c18
2017-12-10 21:49:03.249819,15,16.7,162.5,"{'900_032002752628': 25, 'No Tag': 1}",0.4,0.72,e5451ad8-7006-4f66-ad58-d8cbfb7e83c8
2017-12-10 21:49:48.137039,16,27.8,162.4,"{'900_032002752624': 4, '900_032002752628': 30, 'No Tag': 1}",0.4,1.26,c640affc-af91-4c07-bf42-c45444431392
2017-12-10 21:51:06.687835,17,22.3,162.7,"{'900_032002752624': 4, '900_032002752628': 26, 'No Tag': 1}",0.3,1.37,5b341030-9fcd-4240-aae8-3c4581a03d6b
2017-12-10 21:52:29.912292,18,5.4,173.1,"{'900_032002752628': 7, 'No Tag': 1}",0.2,0.55,99ee738a-52eb-4d1d-9f6c-76f6c2ca342b
2017-12-10 21:53:04.390600,19,0.1,190.4,No Tag,0.1,0.02,10c19fdc-333b-4532-9c67-d36a34761a1a
2017-12-10 21:53:07.049685,20,13.5,177.2,"{'900_032002752624': 5, 'No Tag': 1, '900_032002752619': 1, '900_032002752628': 10}",0.2,1.06,aaeaf0ba-5464-4074-975f-bca153ba712f
2017-12-10 21:54:12.428094,21,113.9,170.9,"{'900_032002752624': 11, 'No Tag': 1, '900_032002752619': 22, '900_032002752628': 48}",0.3,7.17,e8e745c9-48bd-4562-b82d-23ab42027b09
2017-12-10 22:01:28.667353,22,3.4,165.3,"{'900_032002752624': 1, '900_032002752628': 7, 'No Tag': 1}",0.2,0.28,7b49c885-4d63-449a-891e-21de5173a22f
2017-12-10 22:01:47.872464,23,33.7,170.3,"{'900_032002752624': 3, 'No Tag': 1, '900_032002752628': 13, '900_032002752619': 9}",0.3,2.17,e0a7dde4-513f-43e8-9703-29c7ce5f2cb4
